biography,biography_50_characters,biography_75_words,count_objects,date,freebase:id,id,ideo:id,ima:id,lcnaf:id,ldm:id,moma:id,name,phm:id,superseded_by,supersedes,tms:id,ulan:id,url,vanda:id,viaf:id,walker:id,wikipedia:id,woe:country,woe:country_id
"Andrea Branzi is an architect, designer, and professor of industrial design, working in the fields of urban planning and cultural promotion. In 1966 Branzi founded the Archizoom Association with partners Paolo Deganello, Gilberto Corretti and Massimo Morozzi. The firm, named after the British group of architects known as Archigram and the journal “Zoom,” was one of the first avant-garde groups associated with the Postmodernist movement in Italy. From its founding until 1974, the team produced work in design, architecture and urban planning that aimed reconciliation between design and the challenges of contemporary society.  Branzi and its members developed plans such as No-Stop City (1970), a radical design vision projecting the city of the future as a “fluid metropolis,” where the individual can creatively and freely achieve his own housing conditions. Archizoom also invented “Superarchitecture,” endorsing unconventional and eclectic design along the lines of Pop Art. In 1983 Branzi cofounded Domus Academy, the first international post-graduate school for design.   He is the author of many books and essays on the theory and history of design, and has collaborated with magazines such as Domus, Interni and Casabella.  His work has been featured in the Venice Biennale and Milan Triennale, and is in the permanent collections of the Centre Georges Pompidou in Paris, the Victoria & Albert Museum in London, and the Museum of Modern Art in New York, among others.",,,3,"Italian, b. 1938",,35518605,,,,,,Andrea Branzi,,0,0,,,https://collection.cooperhewitt.org/people/35518605/,,,,,23424853,23424853
,,,2,Italian,,35518651,,,,,,Vittorio Rigattieri,,0,0,,,https://collection.cooperhewitt.org/people/35518651/,,,,,23424853,23424853
,,,1,USA,,35518611,,,,,,B.F. Goodrich Co.,,0,0,,,https://collection.cooperhewitt.org/people/35518611/,,,,,23424977,23424977
,,,1,"American, founded 1935",,35518633,,,,,,Edward Fields Carpet Makers,,0,0,,,https://collection.cooperhewitt.org/people/35518633/,,,,,23424977,23424977
,,,1,"British, 1881–1972",,35518643,,,,,,Maxwell Ashby Armfield,,0,0,,,https://collection.cooperhewitt.org/people/35518643/,,,,,23424975,23424975
,,,2,"English, founded 1884",,35518645,,,,,,G. P. & J. Baker,,0,0,,,https://collection.cooperhewitt.org/people/35518645/,,,,,23424975,23424975
"Born in Ferrara, Italy in 1951, Michele de Lucchi studied architecture at the University of Florence, from which he graduated in 1975.  Among a group of architects and designers working in the 1970s and 1980s who were reacting against the “stifling” formalism of the prevailing International Style, Michele de Lucchi joined several radical experimental design groups including Gruppo Cavart and Studio Alchymia, before becoming one of the founding members of the infamous design collective, Memphis, led by Ettore Sottsass.  From 1992 to 2002, Michele de Lucchi was design director for Olivetti and developed experimental projects for such corporate clients as Siemens, Phillips, Compaq Computers, and Vitra.   His product designs for Artemide (Tolomeo and Logico lamp series), Kartell, Matsushita, and Cucine are still celebrated today.  Michele de Lucchi’s architectural commissions include exteriors and interiors for Deutsche Bank, Novartis, Telecom Italia, the Groningen Museum in the Netherlands and the Neues Museum in Berlin.  As an advocate for artisanal production techniques and materials, Michele de Lucchi founded Produzione Privata in 1990 to produce his product designs and works on architecture commissions through his studio aMDL, based in Milan and Rome.",,,2,"Italian, b. 1951",,35518609,,,,,,Michele de Lucchi,,0,0,,,https://collection.cooperhewitt.org/people/35518609/,,,,,23424853,23424853
,,,1,American,,35518615,,,,,,Seth Thomas,,0,0,,,https://collection.cooperhewitt.org/people/35518615/,,,,,23424977,23424977
,,,1,"Scottish, active England",,35518647,,,,,,William Turner,,0,0,,,https://collection.cooperhewitt.org/people/35518647/,,,,,23424975,23424975
,,,13,"(American, 1900-1982)",,35518595,,,,,,Joseph B. Friedman,,0,0,,,https://collection.cooperhewitt.org/people/35518595/,,,,,23424977,23424977
,,,1,"American, 1905 - 1958",,35518561,,,,,,Claire McCardell,,0,0,,,https://collection.cooperhewitt.org/people/35518561/,,,,,23424977,23424977
,,,1,"New York, New York, USA",,35518569,,,,,,Little Simon,,0,0,,,https://collection.cooperhewitt.org/people/35518569/,,,,,23424977,23424977
"Harriet Wallace-Jones and Emma Sewell graduated from the Royal College of Art in 1990. Soon after, they founded their studio, WallaceSewell, where they create fabrics for both fashion and furnishings. They started out by presenting at the Chelsea Crafts Fair in London. In 1992 they produced a first collection of scarves and cushions which is now being sold at Barneys New York. They opened their Islington design studio in 1993. In 2008, they designed the textiles that are used in the London Overground train, teaming up with TFL (transport for London).",,,1,"British, b.1964",,35518589,,,,,,Emma Sewell,,0,0,,,https://collection.cooperhewitt.org/people/35518589/,,,,,23424975,23424975
,,,1,"Japanese, 1859–1925",,35518583,,,,,,Yoichirō Hirase,,0,0,,,https://collection.cooperhewitt.org/people/35518583/,,,,,23424856,23424856
,,,1,"American, 1870–1911",,35518575,,,,,,Standard Oil Company,,0,0,,,https://collection.cooperhewitt.org/people/35518575/,,,,,23424977,23424977
,,,1,,,35518579,,,,,,Bertha Mason,,0,0,,,https://collection.cooperhewitt.org/people/35518579/,,,,,23424977,23424977
,,,2,Italian,,35518585,,,,,,Lanerie Agnona,,0,0,,,https://collection.cooperhewitt.org/people/35518585/,,,,,23424853,23424853
"Harriet Wallace-Jones and Emma Sewell graduated from the Royal College of Art in 1990. Soon after, they founded their studio, WallaceSewell, where they create fabrics for both fashion and furnishings. They started out by presenting at the Chelsea Crafts Fair in London. In 1992 they produced a first collection of scarves and cushions which is now being sold at Barneys New York. They opened their Islington design studio in 1993. In 2008, they designed the textiles that are used in the London Overground train, teaming up with TFL (transport for London).",,,1,"British, b. 1965",,35518587,,,,,,Harriet Wallace-Jones,,0,0,,,https://collection.cooperhewitt.org/people/35518587/,,,,,23424975,23424975
,,,3,"(Mexican, b. 1967)",,35518593,,,,,,Damián Ortega,,0,0,,,https://collection.cooperhewitt.org/people/35518593/,,,,,23424900,23424900
,,,1,"English,born 1969",,35518557,,,,,,John Tree,,0,0,,,https://collection.cooperhewitt.org/people/35518557/,,,,,23424975,23424975
,,,1,"French, 1881 - 1955",,35518559,,,,,,Fernand Léger,,0,0,,,https://collection.cooperhewitt.org/people/35518559/,,,,,23424819,23424819
,,,1,"American, active 1941 - 1976",,35518567,,,,,,Harrison & Abramovitz,,0,0,,,https://collection.cooperhewitt.org/people/35518567/,,,,,23424977,23424977
,,,3,"Paris, France",,35518571,,,,,,Librairie centrale des beaux-arts,,0,0,,,https://collection.cooperhewitt.org/people/35518571/,,,,,23424819,23424819
"Industrial designer Ruth Gerth married William Gerth, also a designer. Ruth designed extensively for Chase Brass & Copper Company in Waterbury, CT. She designed many objects for the company’s gift line as well as planned the offices, gift shop, and showrooms.",,,2,"American, 1897–1952",,35518591,,,,,,Ruth Gerth,,0,0,,,https://collection.cooperhewitt.org/people/35518591/,,,,,23424977,23424977
,,,2,"French, 1868–1930",,35518555,,,,,,Keller Studio,,0,0,,,https://collection.cooperhewitt.org/people/35518555/,,,,,23424819,23424819
"Peter Krider began his apprenticeship with Philadelphia silversmith John Curry in 1835 and finished it there with the more prolific and well-known firm of Robert and William Wilson, where he worked as a journeyman for about 15 months. In about 1842, he moved to Boston, where he worked for Obadiah Rich, returning to Philadephia about four years later to serve as the Wilsons' foreman. His firm, Krider & Co, appears in the Philadelphia directories first in 1851. He ultimately became one of Philadelphia's most important silversmiths of the second half of the nineteenth century.   During most of the time from  1859-1870 , when John W. Biddle was his partner, the firm was known as Krider & Biddle. The business was sold to August Weber in 1888.  
Krider specialized in beakers, and partnered with retailers in other parts of the country. However, he also made hollowware for prominent Philadelphia retailers such as Bailey and Company, and J. E. Caldwell, along with several important presentation pieces.",,,1,"American, 1821 - 1895",,35474777,,,,,,Peter L Krider,,0,0,,,https://collection.cooperhewitt.org/people/35474777/,,,,,23424977,23424977
,,,2,American,,35474789,,,,,,"R. H. Robertson and R. Burnside Potter, Architects",,0,0,,,https://collection.cooperhewitt.org/people/35474789/,,,,,23424977,23424977
,,,1,"Netherlandish, 17th century",,35474783,,,,,,Jacob Duck,,0,0,,,https://collection.cooperhewitt.org/people/35474783/,,,,,,
,,,1,"Flemish, 1610–1690",,35474775,,,,,,David Tenier,,0,0,,,https://collection.cooperhewitt.org/people/35474775/,,,,,,
,,,1,"Netherlandish, 1721–1784",,35474779,,,,,,Hendrik Spilman,,0,0,,,https://collection.cooperhewitt.org/people/35474779/,,,,,,
,,,1,"Italian, 1504–1570",,35474785,,,,,,Francesco Primaticco,,0,0,,,https://collection.cooperhewitt.org/people/35474785/,,,,,23424853,23424853
,,,2,French,,35474799,,,,,,E. Olhon,,0,0,,,http://collection.cooperhewitt.org/people/35474799/,,,,,23424819,23424819
,,,1,"French, 1594–1665",,35474781,,,,,,Nicolas Poussin,,0,0,,,https://collection.cooperhewitt.org/people/35474781/,,,,,23424819,23424819
,,,1,"Swiss, b. 1850 or 1860",,35474793,,,,,,Johannes or Jakob Stauffacher,,0,0,,,https://collection.cooperhewitt.org/people/35474793/,,,,,23424957,23424957
,,,2,"French, 1807–1881, Lyon",,35474791,,,,,,Louis Apollinaire Sicard,,0,0,,,https://collection.cooperhewitt.org/people/35474791/,,,,,23424819,23424819
,,,1,"American, active 1926–60s",,35474797,,,,,,Grace Fakes,,0,0,,,https://collection.cooperhewitt.org/people/35474797/,,,,,23424977,23424977
"Sung-Ran Kim, a Korean artist and jewelry designer, is most notable for her jewelry designs executed through a process known as electroforming.  Kim pioneered her use of electroforming while studying under mentor and fellow jewelry maker, Chunghi Choo at the University of Iowa.  She uses electroforming, a process of layering metals to each other to create objects in irregular or delicate shapes specific to this process.  Choo and Kim developed this method to open up the art of jewelry making to more complex, unique designs.  Holding two MFA’s in Metalsmithing and Jewelry Design—one from Hongik University in Korea and the other from the University of Iowa’s Metal Arts Department in the Department of Art and Art History—Kim has made a name for herself as a contemporary and innovative jewelry designer, introducing new and exciting techniques to the field.  She has authored three books on the subject of electrofoming, which are meant to be guides for other jewelry makers hoping to work in the same medium.  Many of Kim’s designs can be found in museums and private collections around the world—one of her bracelets has been acquired by the Museum of Art and Design in New York.  Additionally, Kim has exhibited her collections at various venues and has been teaching Metalsmithing and Jewelry Making at the university level in Korea since the late 1990s.",,,1,"Korean, born 1960",,35459761,,,,,,Sung-Ran Kim,,0,0,,,https://collection.cooperhewitt.org/people/35459761/,,,,,,
"Thomas Heatherwick:  Since founding the Heatherwick Studio in 1994, Thomas Heatherwick has garnered international recognition as one of the most influential and innovative designers today.  Heatherwick’s works span a wide range of disciplines—from architecture, furniture, fashion, and product design to engineering, transportation design, and urban planning—and are executed on a variety of scales.  Born in London in 1970, Heatherwick was introduced to design at an early age by both of his parents.  His mother, a bead collector, helped Heatherwick to develop his aesthetic while his father introduced him to architecture and design.  As a child, Heatherwick frequently worked on inventions, anything from mechanical birthday cards to go-karts. He went on to study 3-D design at Manchester Polytechnic, where he received a degree in 1991, followed by study in a two year Furniture MA program at the Royal Academy of Art, receiving a degree in 1994. Upon graduating, he established the Thomas Heatherwick Studio (now the Heatherwick Studio) where over the last 18 years, he and a group of fellow designers, architects, and engineers have worked on nearly 200 projects. Heatherwick has won various honors and awards, including honorary doctorates from four universities: Sheffield Hallam, Brighton, Dundee, and Manchester Metropolitan University.  Heatherwick is an Honorary Fellow of the Royal Institute of British Architects and is a Senior Fellow at the Royal College of Art.  Additionally, he is the youngest practitioner to be appointed a Royal Designer for Industry.  His works have been exhibited in England and internationally, and in 2012 the Victoria And Albert Museum hosted a retrospective of the works of Heatherwick Studio called, “Heatherwick Studio: Designing the Extraordinary.”",,,44,"English, b. 1970",,35459769,,,,,,Thomas Heatherwick,,0,0,,,https://collection.cooperhewitt.org/people/35459769/,,,,,23424975,23424975
"Born Plymouth Mass, June 1947 BFA, with Departmental Honors in Industrial Ceramic Design.

At the age of 30, immediately after graduation, began work for Blenko, June 1947.
Hired as Blenko Glass company's first full-time in house designer; 1947-53.

During his 6 year tenure he created over 160 new designs for Blenko and completely re-shaped their product line.

Many of Anderson's designs were influenced by the Scandinavian aesthetic and by the interest in the natural aspect of glass itself. 

In May 1953 went to  Lenox China and Crystal where he remained until retiring in July 1980.",,,2,"American, 1917–2007",,35459783,,,,,,Winslow Anderson,,0,0,,,https://collection.cooperhewitt.org/people/35459783/,,,,,23424977,23424977
Born: Amsterdam,,,1,"Dutch, 1645–1708",,35459729,,,,,,Romeyn de Hooch,,0,0,,,https://collection.cooperhewitt.org/people/35459729/,,,,,23424909,23424909
"Founded by English chemist, William J. Blenko as Eureka Art Glass Company, in Milton, West Virginia in 1921, the Blenko Glass Company assumed its name in 1930.  Blenko understood not only the glass process, but color, a key impact of glass design.  Initially, the firm specialized in plate glass, patenting a ruby red color that could be re-fired for stained glass enamellists.  Blenko introduced tableware in 1929; during the 1930’s it inclined towards a Swedish aesthetic, especially under foreman Carl Ebert Erickson from 1937-42.  In 1947, Blenko hired Winslow Anderson as its first credited full-time, in-house designer.  Anderson (1947-53) at Blenko was succeeded by Wayne Husted (1953-63), Joel Philipi Myers (1963-70), John Nickerson (1970-74), Don Shepherd (1974-88), Hank Adams (1988-94), Matt Carter (1995-2002), Richard Blenko (1980-2007), and Arlen Bayliss (2007-2012) as artistic directors.",,,8,"Milton, West Virginia, 1921 - 2012",,35459779,,,,,,Blenko Glass Company,,0,0,,,https://collection.cooperhewitt.org/people/35459779/,,,,,23424977,23424977
,,,1,"French, 1716–64",,35459707,,,,,,Jean-Joseph Baléchou,,0,0,,,http://collection.cooperhewitt.org/people/35459707/,,,,,23424819,23424819
,,,1,"Italian, ca. 1525–ca. 1587",,35459737,,,,,,Marco dal Pino,,0,0,,,https://collection.cooperhewitt.org/people/35459737/,,,,,23424853,23424853
Born and died: Paris,,,1,"French, 1707–83",,35459725,,,,,,Jacques-Philippe Le Bas,,0,0,,,https://collection.cooperhewitt.org/people/35459725/,,,,,23424819,23424819
,,,1,"Dutch, founded 1875",,35459751,,,,,,Eijffinger,,0,0,,,https://collection.cooperhewitt.org/people/35459751/,,,,,23424909,23424909
,,,1,German,,35459711,,,,,,I. W. Meil,,0,0,,,http://collection.cooperhewitt.org/people/35459711/,,,,,23424829,23424829
"Formed in 1866 as Crowell and Miller to later become Miller and Sisson coming under control of William H. Miller. Located at 194, 196 Eddy Street in Providence, RI., this firm manufactured cast iron decorative objects including a series of Gothic style birdhouses. These birdhouses were pat'd dated in the year 1868.",,,1,Providence RI,,35459733,,,,,,Miller Iron Company,,0,0,,,https://collection.cooperhewitt.org/people/35459733/,,,,,23424977,23424977
"Born Hudson, NY, 1927, second design director for Blenko Glass, after Winthrop Anderson, from 1952-1963. Worked for other glass companies including Viking, Anchor Hocking, Stelvia,  Bishoff.  In 2001 produced Olana series in collaboration with Blenko.",,,2,"American, b. 1927",,35459787,,,,,,Wayne Husted,,0,0,,,https://collection.cooperhewitt.org/people/35459787/,,,,,23424977,23424977
,,,1,Austrian,,35459719,,,,,,Charlotte Schreiber,,0,0,,,https://collection.cooperhewitt.org/people/35459719/,,,,,23424750,23424750
"Baugh was the wife of Wayne Husted at the time he was design director of Blenko glass. Industrial designer Betty Baugh earned degrees from New York State College of Industrial Design at Alfred University and Stephen College. She was professor and guest lecturer at several universities. Baugh was elected President of the Industrial Designers Society of America and has received awards.
Today she consults on product design in glassware, metal, ceramics, and other media. Baugh believes in not transforming the material she uses so that it will function as part of the object.",,,1,"American, b. c. 1931",,35459791,,,,,,Betty Baugh,,0,0,,,https://collection.cooperhewitt.org/people/35459791/,,,,,23424977,23424977
"Assistant Prof of Ceramics and Design at Colordado State University.  Then, worked as chief designer for Blenko Glass Co starting in 1970-1974
1969 MFA, New York State College of Ceramics Alfred, New York 
    
1964 BA, Montana State University, Bozeman, Montana 
    
  Also attended:  
1965-1966 The Society of Arts and Crafts: Detroit, Michigan 
1966 The School for American Craftsmen: Rochester, NY 
    
1976-1977 Artist in Residence Kanawha County Continuing Education Program Kanawha County Continuing Education Program Charleston, West Virginia 
 
1974-1975 Associate Master of design, drawing, sculpture, Ceramics and glass Georgian College of Applied Art and Technology, Barrie, Ontario, Canada
 
1970-1974 Designer in Residence Blenko Glass Company Blenko Glass Company, Inc.; Milton, West Virginia
 
1969-1970 Assistant Professor of ceramics and design Colorado State University; Fort Collins, Colorado
 
1967 Staff Designer Shuron- Continental, Division of Textron Corporation; Rochester, New York",,,1,"American, b. 1939",,35459797,,,,,,John H. Nickerson,,0,0,,,https://collection.cooperhewitt.org/people/35459797/,,,,,23424977,23424977
"Philippe Apeloig (b. 1962) is a French graphic designer and typographer.  Apeloig was educated at the École Nationale Supérieure des Arts Appliqués and the École Nationale Supérieure des Arts Décoratifs in Paris, where he gained experience in what was then the traditional approach to typography—calligraphy, hand lettering, and metal type.  While still a student, he worked as a intern at the Dutch firm Total Design under the guidance of Daphne Ofreski and Yoleen van der Vouw.  Both Ofreski and van der Vouw were assistants to Total Design founder Wim Crouwel, and they imparted in Apeloig the value of the organizational grid that would become one of the foundations of his personal approach.  Following his graduation, Apeloig worked as a designer for Musée d’Orsay in Paris from 1985 to 1987 before traveling to Los Angeles to work with April Greiman.  Under Greiman’s mentorship, Apeloig was encouraged to embrace emerging technology as a design tool.  He returned to Paris to establish his own studio, and has since taught typography and graphic design at The Cooper Union School of Art in New York and the École Nationale Supérieure des Arts Décoratifs in Paris.  Since the late 1980s, Apeloig has produced poster designs and graphic identities for the New York Type Directors Club, FIAF (French Institute / Alliance Francaise) in New York, Instituto Universitario di Architectura di Venezia (IUAV), Musée du Louvre, Association des bibliothécaires de France (ABF), The New York Times T Magazine, the Châtelet Theatre Musical de Paris, Le Maison de Photo, Brittany, and Galerie Litvak, Tel Aviv, among others.  Apeloig is a member of the Alliance Graphique Internationale and the Ordre des Arts et des Lettres.",,,26,"French, b. 1962",,35459765,,,,,,Philippe Apeloig,,0,0,,,https://collection.cooperhewitt.org/people/35459765/,,,,,23424819,23424819
,,,10,"Flemish, active Germany, 1723–96",,35459715,,,,,,Charles-Albert Lespilliez,,0,0,,,http://collection.cooperhewitt.org/people/35459715/,,,,,,
"Born in 1977, Fanette Mellier trained at the Graduate School of Decorative Arts in Strasbourg from which she graduated in 2000.  After working for a few years for other designers, she opened her own studio in 2005 working for clients in the area of literary publishing as well as for cultural events and institutions.  From 2007-09 she had a residency in Chaumont where she led a project on the relationship between graphic design and literature.  Her most recent achievement was the award of a Prix de Rome for the academic year 2012-13 to work at the French Academy in Rome.",,,2,"French, b. 1977",,35459755,,,,,,Fanette Mellier,,0,0,,,https://collection.cooperhewitt.org/people/35459755/,,,,,23424819,23424819
"Rogers, co-founder and VP of Engineering at Nest Labs, worked in software development at Apple. He has a bachelor’s of science and Master’s of science from Carnegie Mellon University.",,,2,,,35459773,,,,,,Matt Rogers,,0,0,,,https://collection.cooperhewitt.org/people/35459773/,,,,,23424977,23424977
"Born in 1861 in Tallmadge, Ohio, Clara Wolcott Driscoll was among the many young women who flocked to New York City in the late 1800s seeking respectable careers, particularly in the burgeoning field of industrial arts. After graduating from Cleveland's Western Reserve School of Design for Women in 1882, she attended the Metropolitan Museum Art School in New York City and was hired by Tiffany around 1888. In 1892 she was appointed head of the newly-formed Women's Glass Cutting Department, which eventually employed as many as thirty-five women. In addition to managing a large staff, Driscoll was responsible for creating designs for a wide range of objects and, in fact, designed most of the firm's lampshades and mosaic bases. 
From,  Clara Driscoll and the Tiffany Girls:The Women of Tiffany Studios by Margaret K. Hofer, Nina Gray, and Martin Eidelberg,  Antiques and Fine Art, Spring 2007",,,1,"American, 1861 - 1933",,35459689,,,,,,Clara Driscoll,,0,0,,,https://collection.cooperhewitt.org/people/35459689/,,,,,23424977,23424977
,,,1,"American, 1854–1932",,35459675,,,,,,Walter L. Palmer,,0,0,,,https://collection.cooperhewitt.org/people/35459675/,,,,,23424977,23424977
,,,1,"British, 18th century",,35459693,,,,,,John Ingram,,0,0,,,http://collection.cooperhewitt.org/people/35459693/,,,,,23424975,23424975
,,,1,American,,35459671,,,,,,Edward P Schreyer,,0,0,,,https://collection.cooperhewitt.org/people/35459671/,,,,,23424977,23424977
,,,4,"French, 18th century",,35459697,,,,,,Herisset,,0,0,,,http://collection.cooperhewitt.org/people/35459697/,,,,,23424819,23424819
,,,1,American,,35459665,,,,,,Clifford B Stevens,,0,0,,,https://collection.cooperhewitt.org/people/35459665/,,,,,23424977,23424977
,,,1,,,35459827,,,,,,Thomas Wilhelm Meister,,0,0,,,https://collection.cooperhewitt.org/people/35459827/,,,,,23424829,23424829
,,,1,American,,35459841,,,,,,Mary Morison Brownson,,0,0,,,https://collection.cooperhewitt.org/people/35459841/,,,,,23424977,23424977
,,,3,,,35459823,,,,,,Hertz and Wegener,,0,0,,,https://collection.cooperhewitt.org/people/35459823/,,,,,23424829,23424829
"Father and grandfather were glassblowers at Reijmyre factory in Sweden, he emigrated to US in 1906 at the age of seven. First at Pairpoint factory in New Bedford, MA, then Libbey in Toledo. He was at Blenko glass as foreman from1937 until 1942, when he left to found his own glass factory, Erickson Glassworks in Bremen, Ohio.",,,1,"Swedish, (1899 Reijmre, Sweden-1966 Ohio) active in the United States",,35459801,,,,,,Carl Ebert Erickson,,0,0,,,https://collection.cooperhewitt.org/people/35459801/,,,,,23424954,23424954
,,,1,American,,35459805,,,,,,Will Richardson,,0,0,,,https://collection.cooperhewitt.org/people/35459805/,,,,,23424977,23424977
,,,1,"British, 1773–1857",,35459851,,,,,,Charles Turner,,0,0,,,https://collection.cooperhewitt.org/people/35459851/,,,,,23424975,23424975
,,,1,"French, 1902 - 1982",,35459833,,,,,,Jean Picart Le Doux,,0,0,,,https://collection.cooperhewitt.org/people/35459833/,,,,,23424819,23424819
,,,2,"British, 1775–1851",,35459845,,,,,,James Mallord William Turner,,0,0,,,https://collection.cooperhewitt.org/people/35459845/,,,,,23424975,23424975
,,,2,German,,35459819,,,,,,Carl F. W. Wicht,,0,0,,,https://collection.cooperhewitt.org/people/35459819/,,,,,23424829,23424829
,,,1,American,,35459809,,,,,,Eileen Richardson,,0,0,,,https://collection.cooperhewitt.org/people/35459809/,,,,,23424977,23424977
Mr. Komiya is a Living National Treasure.,,,2,Japanese (b. 1925),,35459815,,,,,,Yasutaka Komiya,,0,0,,,https://collection.cooperhewitt.org/people/35459815/,,,,,23424856,23424856
,,,1,"British, 19th century",,35459855,,,,,,Thomas Hodgetts,,0,0,,,https://collection.cooperhewitt.org/people/35459855/,,,,,23424975,23424975
,,,1,"Italian, 1494 - 1576",,35456101,,,,,,Francesco da Sangallo,,0,0,,,https://collection.cooperhewitt.org/people/35456101/,,,,,23424853,23424853
